Company name,Description,Founding year,Email ID,Technology based
Google,"Google is a global technology company specializing in Internet-related services and products. It offers services such as search, online advertising, cloud computing, and software.",1998,contact@google.com,Yes
Apple,"Apple Inc. designs and sells consumer electronics, software, and online services. It is renowned for its iPhone, iPad, and Mac computers.",1976,info@apple.com,
Microsoft,"Microsoft Corporation develops, manufactures, licenses, and supports a wide range of software products, including Windows, Office, and Azure cloud services.",1975,support@microsoft.com,
Amazon,"Amazon is an e-commerce and cloud computing giant that started as an online bookstore. It has expanded into various sectors, including AI, streaming, and logistics.",1994,service@amazon.com,
Facebook,"Facebook, now Meta Platforms, is a social media company that connects people worldwide. It also owns Instagram, WhatsApp, and Oculus VR.",2004,contact@meta.com,
Tesla,"Tesla, Inc. specializes in electric vehicles, energy storage solutions, and solar energy products. It aims to accelerate the world's transition to sustainable energy.",2003,info@tesla.com,
IBM,"IBM (International Business Machines Corporation) offers computer hardware, software, and consulting services. It has a rich history in pioneering computing technology.",1911,support@ibm.com,
Samsung,"Samsung is a South Korean multinational conglomerate that produces electronics, appliances, and semiconductors. It's a leader in smartphones and televisions.",1938,contact@samsung.com,
Toyota,Toyota is a Japanese automotive manufacturer known for its reliable and fuel-efficient vehicles. It is also a pioneer in hybrid and hydrogen fuel cell technologies.,1937,service@toyota.com,
Coca-Cola,"Coca-Cola is a global beverage company known for its flagship soft drink, Coca-Cola. It offers a wide range of non-alcoholic beverages worldwide.",1892,info@coca-cola.com,
Nike,"Nike, Inc. is a leading sportswear company that designs, manufactures, and markets footwear, apparel, and accessories. It is known for its innovation and brand strength.",1964,support@nike.com,
Disney,"The Walt Disney Company is a diversified entertainment conglomerate. It operates theme parks, movie studios, and television networks, creating iconic characters and stories.",1923,contact@disney.com,
McDonald's,"McDonald's is the world's largest fast-food chain, serving hamburgers, fries, and other items. It operates in over 100 countries, offering quick service meals.",1940,service@mcdonalds.com,
Intel,"Intel Corporation is a leading semiconductor manufacturer that designs and builds essential technologies for computing devices, including microprocessors.",1968,support@intel.com,
Sony,"Sony Corporation is a Japanese multinational conglomerate with interests in electronics, gaming, entertainment, and financial services. It is known for its innovation in consumer electronics.",1946,info@sony.com,
Volkswagen,"Volkswagen Group is a German automotive manufacturer that produces vehicles under various brands, including Volkswagen, Audi, and Porsche. It is one of the world's largest car makers.",1937,contact@volkswagen.com,
Pfizer,Pfizer is a global pharmaceutical company that develops and produces medicines and vaccines. It is known for its innovation in healthcare and research.,1849,service@pfizer.com,
Adidas,"Adidas is a German multinational corporation that designs and manufactures sports shoes, clothing, and accessories. It is known for its quality and innovation in sportswear.",1949,info@adidas.com,
Oracle,"Oracle Corporation is a multinational computer technology company specializing in database software, cloud solutions, and enterprise software products.",1977,support@oracle.com,
Netflix,"Netflix is a streaming service that offers a vast library of movies, TV shows, and original content. It has transformed the way people consume entertainment.",1997,contact@netflix.com,
